	Term1	Term2	String1	String2	wikidata_iri_1	wikidata_iri_2	Mean	StdDev	RawScores
153	ghana	france	Ghana	France	http://www.wikidata.org/entity/Q117	http://www.wikidata.org/entity/Q142	54.0	30.8707	[3, 59, 69, 85]
154	museo_del_prado	barcelona	Museo del Prado	Barcelona	http://www.wikidata.org/entity/Q160112	http://www.wikidata.org/entity/Q1492	53.6	39.3273	[79, 13, 98, 0, 78]
155	jimi_hendrix	john_philip_sousa	Jimi Hendrix	John Philip Sousa	http://www.wikidata.org/entity/Q5928	http://www.wikidata.org/entity/Q295935	52.6	32.5367	[71, 32, 1, 65, 94]
156	cary_grant	william_shatner	Cary Grant	William Shatner		http://www.wikidata.org/entity/Q16297	52.5	32.8519	[19, 100, 25, 66]
157	zinedine_zidane	paris_saint-germain_f.c.	Zinedine Zidane	Paris Saint-Germain F.C.	http://www.wikidata.org/entity/Q1835	http://www.wikidata.org/entity/Q483020	52.5	46.2412	[0, 97, 13, 100]
158	united_kingdom	ethiopia	United Kingdom	Ethiopia	http://www.wikidata.org/entity/Q145	http://www.wikidata.org/entity/Q115	52.25	39.7516	[0, 100, 29, 80]
159	congo_river	nigeria	Congo River	Nigeria	http://www.wikidata.org/entity/Q3503	http://www.wikidata.org/entity/Q1033	51.0	35.0771	[81, 90, 20, 64, 0]
160	royal_australian_air_force	cayman_airways	Royal Australian Air Force	Cayman Airways	http://www.wikidata.org/entity/Q823635	http://www.wikidata.org/entity/Q1052017	50.75	31.4911	[82, 40, 77, 4]
161	italian_army	alfa_romeo	Italian Army	Alfa Romeo	http://www.wikidata.org/entity/Q796411	http://www.wikidata.org/entity/Q26921	50.5	35.139	[60, 98, 44, 0]
162	winston_churchill	bbc_worldwide	Winston Churchill	BBC Worldwide	http://www.wikidata.org/entity/Q8016	http://www.wikidata.org/entity/Q2071905	50.4	25.7961	[73, 59, 57, 63, 0]
163	julius_caesar	italy	Julius Caesar	Italy	http://www.wikidata.org/entity/Q1048	http://www.wikidata.org/entity/Q38	50.25	21.1468	[40, 61, 78, 22]
164	united_kingdom	barbados	United Kingdom	Barbados	http://www.wikidata.org/entity/Q145	http://www.wikidata.org/entity/Q244	50.25	25.2228	[8, 54, 68, 71]
165	john_kerry	dick_cheney	John Kerry	Dick Cheney	http://www.wikidata.org/entity/Q22316	http://www.wikidata.org/entity/Q48259	50.0	38.6264	[72, 100, 28, 0]
166	rome	mount_etna	Rome	Mount Etna	http://www.wikidata.org/entity/Q220	http://www.wikidata.org/entity/Q16990	50.0	27.3423	[80, 63, 62, 45, 0]
167	jeremy_clarkson	bbc_worldwide	Jeremy Clarkson	BBC Worldwide	http://www.wikidata.org/entity/Q216160	http://www.wikidata.org/entity/Q2071905	49.8	40.98	[4, 0, 92, 59, 94]
168	guangzhou	lagos	Guangzhou	Lagos	http://www.wikidata.org/entity/Q16572	http://www.wikidata.org/entity/Q8673	49.8	40.7205	[85, 79, 85, 0, 0]
169	gordon_brown	lyndon_b._johnson	Gordon Brown	Lyndon B. Johnson	http://www.wikidata.org/entity/Q10648	http://www.wikidata.org/entity/Q9640	49.6	24.336	[6, 59, 47, 56, 80]
170	oxfam	american_red_cross	Oxfam	American Red Cross	http://www.wikidata.org/entity/Q267941	http://www.wikidata.org/entity/Q470110	49.5	30.8747	[58, 0, 85, 55]
171	anton_chekhov	oscar_wilde	Anton Chekhov	Oscar Wilde	http://www.wikidata.org/entity/Q5685	http://www.wikidata.org/entity/Q30875	49.4	27.6883	[15, 33, 64, 40, 95]
172	rosa_parks	national_association_for_the_advancement_of_colored_people	Rosa Parks	National Association for the Advancement of Colored People	http://www.wikidata.org/entity/Q41921	http://www.wikidata.org/entity/Q502044	49.4	41.9886	[0, 98, 0, 87, 62]
173	julius_caesar	nefertiti	Julius Caesar	Nefertiti	http://www.wikidata.org/entity/Q1048	http://www.wikidata.org/entity/Q40930	49.25	39.3978	[79, 97, 15, 6]
174	delhi	indian_space_research_organisation	Delhi	Indian Space Research Organisation		http://www.wikidata.org/entity/Q229058	49.0	28.5394	[16, 58, 31, 91]
175	aishwarya_rai	screen_actors_guild	Aishwarya Rai	Screen Actors Guild	http://www.wikidata.org/entity/Q47059	http://www.wikidata.org/entity/Q1141037	48.8	36.3945	[0, 92, 69, 11, 72]
176	mumbai	singapore	Mumbai	Singapore	http://www.wikidata.org/entity/Q1156	http://www.wikidata.org/entity/Q334	48.6	38.7174	[58, 0, 7, 84, 94]
177	odysseus	mount_olympus	Odysseus	Mount Olympus	http://www.wikidata.org/entity/Q47231	http://www.wikidata.org/entity/Q80344	48.5	47.1195	[100, 3, 0, 91]
178	frank_zappa	the_mothers_of_invention	Frank Zappa	The Mothers of Invention	http://www.wikidata.org/entity/Q127330	http://www.wikidata.org/entity/Q530362	48.25	44.5779	[86, 0, 8, 99]
179	ethiopia	ottoman_empire	Ethiopia	Ottoman Empire	http://www.wikidata.org/entity/Q115	http://www.wikidata.org/entity/Q12560	48.25	36.2103	[34, 99, 60, 0]
180	cornell_university_press	university_of_massachusetts_amherst	Cornell University Press	University of Massachusetts Amherst	http://www.wikidata.org/entity/Q2997531	http://www.wikidata.org/entity/Q15142	48.2	22.6927	[3, 62, 59, 61, 56]
181	jimi_hendrix	george_carlin	Jimi Hendrix	George Carlin	http://www.wikidata.org/entity/Q5928	http://www.wikidata.org/entity/Q150651	47.75	28.7522	[0, 77, 57, 57]
182	england	amnesty_international	England	Amnesty International	http://www.wikidata.org/entity/Q21	http://www.wikidata.org/entity/Q42970	47.75	34.4701	[100, 28, 55, 8]
183	palace_of_versailles	forbidden_city	Palace of Versailles	Forbidden City	http://www.wikidata.org/entity/Q2946	http://www.wikidata.org/entity/Q80290	47.0	35.171	[70, 28, 0, 90]
184	united_states_olympic_committee	world_boxing_organization	United States Olympic Committee	World Boxing Organization	http://www.wikidata.org/entity/Q1418438	http://www.wikidata.org/entity/Q830940	46.5	37.7392	[0, 100, 25, 61]
185	switzerland	world_economic_forum	Switzerland	World Economic Forum	http://www.wikidata.org/entity/Q39	http://www.wikidata.org/entity/Q170418	46.25	30.161	[91, 53, 9, 32]
186	karl_marx	kurdistan_workers'_party	Karl Marx	Kurdistan Workers' Party	http://www.wikidata.org/entity/Q9061	http://www.wikidata.org/entity/Q152220	45.6	24.7273	[50, 48, 0, 55, 75]
187	hungarian_natural_history_museum	budapest	Hungarian Natural History Museum	Budapest	http://www.wikidata.org/entity/Q778686	http://www.wikidata.org/entity/Q1781	44.8	42.1967	[0, 100, 37, 0, 87]
188	ottoman_empire	russia	Ottoman Empire	Russia	http://www.wikidata.org/entity/Q12560	http://www.wikidata.org/entity/Q159	44.75	38.771	[10, 5, 97, 67]
189	nelson_mandela	african_national_congress	Nelson Mandela	African National Congress	http://www.wikidata.org/entity/Q8023	http://www.wikidata.org/entity/Q83162	44.0	44.0511	[85, 91, 0, 0]
190	mughal_empire	iran	Mughal Empire	Iran	http://www.wikidata.org/entity/Q33296	http://www.wikidata.org/entity/Q794	43.5	40.3764	[100, 63, 0, 11]
191	ludwig_van_beethoven	berlin	Ludwig van Beethoven	Berlin	http://www.wikidata.org/entity/Q255	http://www.wikidata.org/entity/Q64	43.5	33.1097	[67, 0, 24, 83]
192	cirque_du_soleil	new_york_city_ballet	Cirque du Soleil	New York City Ballet	http://www.wikidata.org/entity/Q504715	http://www.wikidata.org/entity/Q1336942	43.5	33.9743	[0, 21, 81, 72]
193	catherine_the_great	oda_nobunaga	Catherine the Great	Oda Nobunaga	http://www.wikidata.org/entity/Q36450	http://www.wikidata.org/entity/Q171411	43.0	26.2488	[0, 56, 70, 46]
194	ural_mountains	pearl_river_(china)	Ural Mountains	Pearl River (China)	http://www.wikidata.org/entity/Q35600	http://www.wikidata.org/entity/Q201463	42.2	24.8145	[51, 69, 61, 30, 0]
195	julius_caesar	sophocles	Julius Caesar	Sophocles	http://www.wikidata.org/entity/Q1048	http://www.wikidata.org/entity/Q7235	42.0	30.4565	[0, 73, 28, 28, 81]
196	glenn_beck	national_rifle_association	Glenn Beck	National Rifle Association	http://www.wikidata.org/entity/Q310618	http://www.wikidata.org/entity/Q863259	42.0	33.4365	[18, 100, 59, 22, 11]
197	tallinn	moscow	Tallinn	Moscow	http://www.wikidata.org/entity/Q1770	http://www.wikidata.org/entity/Q649	42.0	25.7294	[42, 64, 62, 0]
198	shahrukh_khan	new_line_cinema	Shah Rukh Khan	New Line Cinema	http://www.wikidata.org/entity/Q9535	http://www.wikidata.org/entity/Q79202	41.6	33.7437	[4, 1, 87, 54, 62]
199	mount_everest	grand_teton	Mount Everest	Grand Teton	http://www.wikidata.org/entity/Q513	http://www.wikidata.org/entity/Q2078034	41.0	35.1212	[16, 89, 0, 59]
200	ibm	monsanto	IBM	Monsanto	http://www.wikidata.org/entity/Q37156	http://www.wikidata.org/entity/Q207983	40.8	29.9025	[87, 10, 60, 38, 9]
201	qianlong_emperor	philip_ii_of_spain	Qianlong Emperor	Philip II of spain	http://www.wikidata.org/entity/Q19133	http://www.wikidata.org/entity/Q34417	40.4	30.7415	[94, 27, 36, 45, 0]
202	kolkata	edinburgh	Kolkata	Edinburgh	http://www.wikidata.org/entity/Q1348	http://www.wikidata.org/entity/Q23436	40.2	37.6372	[59, 1, 100, 41, 0]
203	fiji	tunisia	Fiji	Tunisia	http://www.wikidata.org/entity/Q712	http://www.wikidata.org/entity/Q948	40.2	33.4449	[0, 0, 56, 69, 76]
204	small_business_administration	libertarian_party	Small Business Administration	Libertarian Party	http://www.wikidata.org/entity/Q495354	http://www.wikidata.org/entity/Q3306657	39.25	25.1135	[70, 43, 0, 44]
205	russia	warsaw	Russia	Warsaw	http://www.wikidata.org/entity/Q159	http://www.wikidata.org/entity/Q270	38.5	22.0284	[7, 42, 69, 36]
206	belize	portugal	Belize	Portugal	http://www.wikidata.org/entity/Q242	http://www.wikidata.org/entity/Q45	38.0	21.225	[42, 71, 17, 22]
207	tennessee_williams	doris_day	Tennessee Williams	Doris Day	http://www.wikidata.org/entity/Q134262	http://www.wikidata.org/entity/Q104372	37.75	25.0836	[0, 67, 32, 52]
208	monsanto	dupont	Monsanto	DuPont	http://www.wikidata.org/entity/Q207983	http://www.wikidata.org/entity/Q38589917	37.25	37.4525	[80, 0, 69, 0]
209	abraham_lincoln	rand_paul	Abraham Lincoln	Rand Paul	http://www.wikidata.org/entity/Q91	http://www.wikidata.org/entity/Q463557	37.25	26.4327	[58, 66, 25, 0]
210	international_atomic_energy_agency	united_nations_security_council	International Atomic Energy Agency	United Nations Security Council	http://www.wikidata.org/entity/Q41984	http://www.wikidata.org/entity/Q37470	36.8	26.9919	[13, 70, 22, 10, 69]
211	munich	leipzig_university	Munich	Leipzig University	http://www.wikidata.org/entity/Q1726	http://www.wikidata.org/entity/Q154804	36.25	36.3481	[0, 84, 2, 59]
212	hungary	afghanistan	Hungary	Afghanistan	http://www.wikidata.org/entity/Q28	http://www.wikidata.org/entity/Q889	36.0	35.2987	[7, 96, 0, 23, 54]
213	new_york_mercantile_exchange	people's_bank_of_china	New York Mercantile Exchange	People's Bank of China	http://www.wikidata.org/entity/Q120233	http://www.wikidata.org/entity/Q249203	35.5	23.0272	[0, 31, 51, 60]
214	j._r._r._tolkien	stan_lee	J.R.R. Tolkien	Stan Lee	http://www.wikidata.org/entity/Q892	http://www.wikidata.org/entity/Q181900	35.4	24.1296	[52, 0, 70, 22, 33]
215	fred_astaire	ballets_russes	Fred Astaire	Ballets Russes	http://www.wikidata.org/entity/Q100937	http://www.wikidata.org/entity/Q214423	35.2	40.0769	[0, 89, 0, 79, 8]
216	sparta	vatican_museums	Sparta	Vatican Museums	http://www.wikidata.org/entity/Q5690		35.2	40.3752	[11, 100, 0, 0, 65]
217	karachi	kiev	Karachi	Kiev	http://www.wikidata.org/entity/Q8660	http://www.wikidata.org/entity/Q1899	34.75	34.2591	[0, 68, 1, 70]
218	cairo	iraq	Cairo	Iraq	http://www.wikidata.org/entity/Q85	http://www.wikidata.org/entity/Q796	34.6	35.2227	[70, 20, 83, 0, 0]
219	vladimir_lenin	aeroflot	Vladimir Lenin	Aeroflot	http://www.wikidata.org/entity/Q1394	http://www.wikidata.org/entity/Q58707	34.2	40.6959	[0, 82, 86, 0, 3]
220	ivan_the_terrible	uzbekistan	Ivan the Terrible	Uzbekistan	http://www.wikidata.org/entity/Q7996	http://www.wikidata.org/entity/Q265	33.8	21.1981	[55, 53, 19, 42, 0]
221	volga_river	soviet_armed_forces	Volga River	Soviet Armed Forces	http://www.wikidata.org/entity/Q626	http://www.wikidata.org/entity/Q7915590	33.6	41.8454	[0, 96, 0, 72, 0]
222	guangzhou	people's_bank_of_china	Guangzhou	People's Bank of China	http://www.wikidata.org/entity/Q16572	http://www.wikidata.org/entity/Q249203	33.5	34.3911	[78, 0, 56, 0]
223	gautama_buddha	bangkok	Gautama Buddha	Bangkok	http://www.wikidata.org/entity/Q9441	http://www.wikidata.org/entity/Q1861	33.4	30.5064	[67, 70, 0, 29, 1]
224	ural_mountains	volga_river	Ural Mountains	Volga River	http://www.wikidata.org/entity/Q35600	http://www.wikidata.org/entity/Q626	33.25	26.9942	[0, 65, 14, 54]
225	john_lennon	shahrukh_khan	John Lennon	Shah Rukh Khan	http://www.wikidata.org/entity/Q1203	http://www.wikidata.org/entity/Q9535	33.25	25.6162	[55, 3, 13, 62]
226	united_states_olympic_committee	toronto_raptors	United States Olympic Committee	Toronto Raptors	http://www.wikidata.org/entity/Q1418438	http://www.wikidata.org/entity/Q132880	33.2	20.6824	[26, 43, 63, 34, 0]
227	charles_dickens	luciano_pavarotti	Charles Dickens	Luciano Pavarotti	http://www.wikidata.org/entity/Q5686	http://www.wikidata.org/entity/Q37615	33.0	33.1889	[0, 61, 0, 71]
228	elvis_presley	bruce_willis	Elvis Presley	Bruce Willis	http://www.wikidata.org/entity/Q303	http://www.wikidata.org/entity/Q2680	33.0	30.7409	[0, 54, 72, 6]
229	taylor_swift	the_mothers_of_invention	Taylor Swift	The Mothers of Invention	http://www.wikidata.org/entity/Q26876	http://www.wikidata.org/entity/Q530362	32.25	30.7439	[31, 82, 0, 16]
230	oscar_wilde	united_kingdom	Oscar Wilde	United Kingdom	http://www.wikidata.org/entity/Q30875	http://www.wikidata.org/entity/Q145	31.5	30.3686	[71, 51, 0, 4]
231	columbus,_ohio	wales	Columbus, Ohio	Wales	http://www.wikidata.org/entity/Q16567	http://www.wikidata.org/entity/Q25	31.4	37.2215	[1, 88, 64, 0, 4]
232	madrid	alfa_romeo	Madrid	Alfa Romeo	http://www.wikidata.org/entity/Q2807	http://www.wikidata.org/entity/Q26921	31.2	17.6114	[43, 52, 32, 29, 0]
233	moscow_kremlin	ottoman_empire	Moscow Kremlin	Ottoman Empire	http://www.wikidata.org/entity/Q133274	http://www.wikidata.org/entity/Q12560	31.2	26.1335	[21, 11, 0, 58, 66]
234	university_of_the_punjab	indian_army	University of the Punjab	Indian Army	http://www.wikidata.org/entity/Q1549932	http://www.wikidata.org/entity/Q355771	31.0	33.2491	[0, 0, 45, 79]
235	ban_ki-moon	unicef	Ban Ki-Moon	UNICEF	http://www.wikidata.org/entity/Q1253	http://www.wikidata.org/entity/Q740308	31.0	40.6387	[100, 3, 21, 0]
236	national_security_agency	german_army	National Security Agency	German Army	http://www.wikidata.org/entity/Q121194	http://www.wikidata.org/entity/Q11322507	30.4	25.303	[53, 0, 57, 42, 0]
237	world_trade_organization	united_states_department_of_homeland_security	World Trade Organization	United States Department of Homeland Security	http://www.wikidata.org/entity/Q7825	http://www.wikidata.org/entity/Q11231	30.2	35.0565	[0, 84, 0, 60, 7]
238	north_america	conagra_foods	North America	ConAgra Foods	http://www.wikidata.org/entity/Q49	http://www.wikidata.org/entity/Q1123399	30.0	31.6733	[86, 0, 38, 26, 0]
239	federal_highway_administration	habitat_for_humanity	Federal Highway Administration	Habitat for Humanity	http://www.wikidata.org/entity/Q800112		30.0	38.2832	[42, 8, 100, 0, 0]
240	sweden	istanbul	Sweden	Istanbul	http://www.wikidata.org/entity/Q34	http://www.wikidata.org/entity/Q406	29.6	19.996	[53, 1, 43, 40, 11]
241	new_york_city	united_states_national_guard	New York City	United States National Guard	http://www.wikidata.org/entity/Q60	http://www.wikidata.org/entity/Q928670	29.4	29.0627	[14, 10, 80, 0, 43]
242	the_louvre	leipzig_university	The Louvre	Leipzig University	http://www.wikidata.org/entity/Q19675	http://www.wikidata.org/entity/Q154804	29.0	28.557	[0, 4, 43, 69]
243	beijing	international_olympic_committee	Beijing	International Olympic Committee	http://www.wikidata.org/entity/Q956	http://www.wikidata.org/entity/Q40970	29.0	23.7171	[0, 27, 66, 23]
244	bill_gates	tumblr	Bill Gates	Tumblr	http://www.wikidata.org/entity/Q5284	http://www.wikidata.org/entity/Q384060	28.8	37.2634	[0, 91, 0, 53, 0]
245	united_nations_security_council	world_economic_forum	United Nations Security Council	World Economic Forum	http://www.wikidata.org/entity/Q37470	http://www.wikidata.org/entity/Q170418	28.6	35.9088	[0, 0, 59, 0, 84]
246	phoenix_suns	world_boxing_organization	Phoenix Suns	World Boxing Organization	http://www.wikidata.org/entity/Q164177	http://www.wikidata.org/entity/Q830940	28.4	33.0188	[58, 0, 78, 6, 0]
247	johann_sebastian_bach	vienna	Johann Sebastian Bach	Vienna	http://www.wikidata.org/entity/Q1339	http://www.wikidata.org/entity/Q1741	28.25	36.2586	[0, 1, 23, 89]
248	miles_davis	frank_gehry	Miles Davis	Frank Gehry	http://www.wikidata.org/entity/Q93341	http://www.wikidata.org/entity/Q180374	28.2	32.0087	[0, 73, 61, 7, 0]
249	dale_earnhardt,_jr.	lamborghini	Dale Earnhardt, Jr.	Lamborghini	http://www.wikidata.org/entity/Q355388	http://www.wikidata.org/entity/Q35886	28.2	25.1746	[52, 0, 60, 29, 0]
250	qianlong_emperor	cleopatra	Qianlong Emperor	Cleopatra	http://www.wikidata.org/entity/Q19133	http://www.wikidata.org/entity/Q635	27.75	24.1286	[56, 0, 8, 47]
251	ferrari	fc_barcelona	Ferrari	FC Barcelona	http://www.wikidata.org/entity/Q27586	http://www.wikidata.org/entity/Q7156	27.75	28.1281	[0, 62, 0, 49]
252	world_trade_organization	london_school_of_economics	World Trade Organization	London School of Economics	http://www.wikidata.org/entity/Q7825	http://www.wikidata.org/entity/Q174570	27.75	21.6145	[58, 0, 36, 17]
253	moscow_kremlin	white_house_press_corps	Moscow Kremlin	White House Press Corps	http://www.wikidata.org/entity/Q133274	http://www.wikidata.org/entity/Q2867521	27.4	26.8894	[48, 0, 68, 21, 0]
254	norway	london	Norway	London	http://www.wikidata.org/entity/Q20	http://www.wikidata.org/entity/Q84	27.0	21.8403	[0, 30, 18, 60]
255	glenn_beck	john_mccain	Glenn Beck	John McCain		http://www.wikidata.org/entity/Q10390	27.0	24.0728	[28, 0, 15, 65]
256	mcdonald's	ibm	McDonald's	IBM	http://www.wikidata.org/entity/Q38076	http://www.wikidata.org/entity/Q37156	26.75	17.4266	[18, 32, 5, 52]
257	fyodor_dostoyevsky	vienna	Fyodor Dostoyevsky	Vienna	http://www.wikidata.org/entity/Q991	http://www.wikidata.org/entity/Q1741	26.6	37.3984	[19, 13, 100, 1, 0]
258	fc_bayern_munich	technical_university_munich	F.C. Bayern Munich	Technical University Munich	http://www.wikidata.org/entity/Q15789	http://www.wikidata.org/entity/Q157808	26.6	35.5055	[6, 93, 0, 34, 0]
259	spanish_armed_forces	united_states_department_of_homeland_security	Spanish Armed Forces	United States Department of Homeland Security	http://www.wikidata.org/entity/Q326991	http://www.wikidata.org/entity/Q11231	26.4	23.2689	[18, 70, 0, 22, 22]
260	richard_pryor	tupac_shakur	Richard Pryor	Tupac Shakur	http://www.wikidata.org/entity/Q294912	http://www.wikidata.org/entity/Q6107	26.25	26.6493	[0, 46, 0, 59]
261	moscow_kremlin	international_olympic_committee	Moscow Kremlin	International Olympic Committee	http://www.wikidata.org/entity/Q133274	http://www.wikidata.org/entity/Q40970	26.25	26.6493	[46, 0, 59, 0]
262	noam_chomsky	alcoa	Noam Chomsky	Alcoa	http://www.wikidata.org/entity/Q9049	http://www.wikidata.org/entity/Q135325	26.0	39.4715	[0, 94, 0, 10]
263	antonio_banderas	fc_barcelona	Antonio Banderas	FC Barcelona	http://www.wikidata.org/entity/Q41548	http://www.wikidata.org/entity/Q7156	25.8	31.0638	[29, 16, 84, 0, 0]
264	the_louvre	paris_saint-germain_f.c.	The Louvre	Paris Saint-Germain F.C.	http://www.wikidata.org/entity/Q19675	http://www.wikidata.org/entity/Q483020	25.75	22.8842	[17, 13, 8, 65]
265	australia	luxembourg	Australia	Luxembourg	http://www.wikidata.org/entity/Q408	http://www.wikidata.org/entity/Q32	25.75	16.0526	[3, 21, 47, 32]
266	winston_churchill	danube	Winston Churchill	Danube	http://www.wikidata.org/entity/Q8016	http://www.wikidata.org/entity/Q1653	25.75	40.1147	[95, 0, 8, 0]
267	abraham_lincoln	american_civil_liberties_union	Abraham Lincoln	American Civil Liberties Union	http://www.wikidata.org/entity/Q91	http://www.wikidata.org/entity/Q21637	25.6	32.8183	[83, 0, 42, 0, 3]
268	ayn_rand	joseph_stalin	Ayn Rand	Joseph Stalin	http://www.wikidata.org/entity/Q132524	http://www.wikidata.org/entity/Q855	25.6	27.3686	[61, 4, 57, 0, 6]
269	united_states	goldman_sachs	United States	Goldman Sachs	http://www.wikidata.org/entity/Q30	http://www.wikidata.org/entity/Q193326	25.6	26.043	[51, 0, 63, 7, 7]
270	nicholas_ii_of_russia	franklin_d._roosevelt	Nicholas II of Russia	Franklin D. Roosevelt	http://www.wikidata.org/entity/Q40787	http://www.wikidata.org/entity/Q8007	25.4	21.2471	[53, 3, 44, 27, 0]
271	barack_obama	united_nations_security_council	Barack Obama	United Nations Security Council	http://www.wikidata.org/entity/Q76	http://www.wikidata.org/entity/Q37470	24.6	22.9835	[52, 19, 1, 0, 51]
272	barack_obama	national_endowment_for_the_arts	Barack Obama	National Endowment for the Arts	http://www.wikidata.org/entity/Q76	http://www.wikidata.org/entity/Q1967116	24.6	32.2466	[87, 20, 0, 16, 0]
273	paris	guangzhou	Paris	Guangzhou	http://www.wikidata.org/entity/Q90	http://www.wikidata.org/entity/Q16572	24.5	27.7984	[24, 70, 4, 0]
274	bugatti	boeing	Bugatti	Boeing	http://www.wikidata.org/entity/Q27401	http://www.wikidata.org/entity/Q66	24.2	28.868	[11, 4, 81, 6, 19]
275	river_thames	carnegie_mellon_university	River Thames	Carnegie Mellon University	http://www.wikidata.org/entity/Q19686	http://www.wikidata.org/entity/Q190080	24.0	34.9857	[90, 0, 0, 0, 30]
276	arjuna	karachi	Arjuna	Karachi	http://www.wikidata.org/entity/Q185790	http://www.wikidata.org/entity/Q8660	24.0	34.9857	[0, 12, 84, 0]
277	cao_cao	london	Cao Cao	London	http://www.wikidata.org/entity/Q204077	http://www.wikidata.org/entity/Q84	24.0	29.1136	[75, 0, 7, 38, 0]
278	american_ballet_theatre	national_collegiate_athletic_association	American Ballet Theatre	National Collegiate Athletic Association	http://www.wikidata.org/entity/Q463443	http://www.wikidata.org/entity/Q271805	23.8	19.1039	[46, 4, 43, 26, 0]
279	oscar_wilde	paris	Oscar Wilde	Paris	http://www.wikidata.org/entity/Q30875	http://www.wikidata.org/entity/Q90	23.6	38.4947	[5, 100, 0, 13, 0]
280	james_patterson	chicago_police_department	James Patterson	Chicago Police Department	http://www.wikidata.org/entity/Q311671	http://www.wikidata.org/entity/Q1340186	23.25	39.6949	[0, 92, 1, 0]
281	dick_cheney	iran	Dick Cheney	Iran	http://www.wikidata.org/entity/Q48259	http://www.wikidata.org/entity/Q794	23.0	17.8101	[42, 3, 33, 37, 0]
282	tony_blair	the_louvre	Tony Blair	The Louvre	http://www.wikidata.org/entity/Q9545	http://www.wikidata.org/entity/Q19675	23.0	24.2796	[35, 0, 57, 0]
283	james_patterson	canada	James Patterson	Canada	http://www.wikidata.org/entity/Q311671	http://www.wikidata.org/entity/Q16	22.75	26.9757	[0, 0, 25, 66]
284	george_w._bush	united_states_olympic_committee	George W. Bush	United States Olympic Committee	http://www.wikidata.org/entity/Q207	http://www.wikidata.org/entity/Q1418438	22.75	23.2096	[52, 0, 0, 39]
285	hezbollah	university_of_hamburg	Hezbollah	University of Hamburg	http://www.wikidata.org/entity/Q41053	http://www.wikidata.org/entity/Q156725	22.6	23.1828	[14, 58, 0, 41, 0]
286	british_airways	university_of_oxford	British Airways	University of Oxford	http://www.wikidata.org/entity/Q8766	http://www.wikidata.org/entity/Q34433	22.5	20.5609	[18, 16, 0, 56]
287	united_kingdom	paris_saint-germain_f.c.	United Kingdom	Paris Saint-Germain F.C.	http://www.wikidata.org/entity/Q145	http://www.wikidata.org/entity/Q483020	22.5	33.9743	[0, 9, 81, 0]
288	americorps	child_protective_services	AmeriCorps	Child Protective Services	http://www.wikidata.org/entity/Q511243	http://www.wikidata.org/entity/Q5097775	22.25	37.963	[1, 0, 88, 0]
289	narendra_modi	indian_space_research_organisation	Narendra Modi	Indian Space Research Organisation	http://www.wikidata.org/entity/Q1058	http://www.wikidata.org/entity/Q229058	22.25	36.8265	[0, 3, 86, 0]
290	euphrates	mexico_city	Euphrates	Mexico City	http://www.wikidata.org/entity/Q34589	http://www.wikidata.org/entity/Q1489	22.2	27.6	[0, 0, 48, 0, 63]
291	oceania	south_america	Oceania	South America	http://www.wikidata.org/entity/Q538	http://www.wikidata.org/entity/Q18	22.0	26.1534	[0, 0, 24, 64]
292	martin_luther_king,_jr.	albert_einstein	Martin Luther King, Jr.	Albert Einstein	http://www.wikidata.org/entity/Q8027	http://www.wikidata.org/entity/Q937	21.75	28.1281	[70, 12, 3, 2]
293	berlin	european_central_bank	Berlin	European Central Bank	http://www.wikidata.org/entity/Q64	http://www.wikidata.org/entity/Q8901	21.75	37.6721	[0, 87, 0, 0]
294	vienna	lamborghini	Vienna	Lamborghini	http://www.wikidata.org/entity/Q1741	http://www.wikidata.org/entity/Q35886	21.75	37.6721	[0, 87, 0, 0]
295	budapest	shanghai	Budapest	Shanghai	http://www.wikidata.org/entity/Q1781	http://www.wikidata.org/entity/Q8686	21.25	32.889	[7, 0, 78, 0]
296	lithuania	royal_new_zealand_air_force	Lithuania	Royal New Zealand Air Force	http://www.wikidata.org/entity/Q37	http://www.wikidata.org/entity/Q542164	21.0	30.3842	[0, 2, 79, 0, 24]
297	tiger_woods	united_states_soccer_federation	Tiger Woods	United States Soccer Federation	http://www.wikidata.org/entity/Q10993	http://www.wikidata.org/entity/Q222131	21.0	30.3579	[27, 0, 78, 0, 0]
298	budapest	romanian_academy	Budapest	Romanian Academy	http://www.wikidata.org/entity/Q1781	http://www.wikidata.org/entity/Q901677	21.0	36.3731	[0, 0, 0, 84]
299	fc_bayern_munich	german_army	F.C. Bayern Munich	German Army	http://www.wikidata.org/entity/Q15789	http://www.wikidata.org/entity/Q11322507	21.0	23.8537	[0, 0, 26, 58]
300	world_economic_forum	communist_party_of_great_britain	World Economic Forum	Communist Party of Great Britain	http://www.wikidata.org/entity/Q170418	http://www.wikidata.org/entity/Q592068	21.0	34.5601	[0, 0, 16, 0, 89]
301	a._r._rahman	kolkata	A. R. Rahman	Kolkata	http://www.wikidata.org/entity/Q108560	http://www.wikidata.org/entity/Q1348	20.8	30.7337	[22, 1, 0, 1, 80]
302	athens	united_states_olympic_committee	Athens	United States Olympic Committee	http://www.wikidata.org/entity/Q1524	http://www.wikidata.org/entity/Q1418438	20.6	26.0123	[22, 0, 11, 0, 70]
303	dilma_rousseff	colombia	Dilma Rousseff	Colombia	http://www.wikidata.org/entity/Q40722	http://www.wikidata.org/entity/Q739	20.6	30.2761	[7, 16, 0, 0, 80]
